"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0050767","regulation of neurogenesis",0.0418286137331112,0.0187718616401088,0.467908902691511,2.22826134855684,14.0492051597121,2.40822940626968e-37,7.71957936179746e-34,3.85950449583746e-34,"Cdh1/Crabp2/Fn1/Igf1/Bmp4/Foxg1/Tgm2/Myo5b/Bmp7/Wls/Serpinf1/Nos1/Fzd4/Cdon/Epha7/Cxcl12/Myc/Dll3/Oprm1/Man2a1/Rest/Il33/Mme/Ace/Zeb2/Drd2/Kdr/Ntn1/Lrp4/Heyl/Myrf/Nrp1/Anxa2/Tgfb1/Lrp1/Lef1/Gfap/Casz1/Mest/Sema7a/Trpc5/Epha4/Zfp488/Pax6/Tnr/Nefl/Fgfr3/Daam2/S100a10/Bhlhe40/Fxn/Il1rapl1/Dip2b/Abcc8/B2m/Thy1/Cux2/Cx3cr1/Tnfrsf1b/Serpine2/Trim11/Cit/Sorl1/Reln/Robo1/Fezf2/Eef2k/Sema3a/Nrg1/Akap5/Nfatc4/Tert/Tiam2/Fgf9/Macf1/Spart/Map1b/Csf1r/Chd7/Rtn4r/Dicer1/Dscam/Cdkl3/Bhlhe41/Enpp2/Appl2/Igdcc4/Arhgef2/Islr2/Hes5/Hook3/Egfr/Kalrn/Trp53/Arhgap4/Sema5a/Afdn/Bmpr2/Golga4/Spen/Flt1/Dock7/Slit1/Ntrk3/Xrcc6/Lig4/Baiap2/Cdkl5/Plxnd1/Adnp/Tnik/Sema3f/Wnt5a/Fstl4/Ptprd/Arhgap32/Sox11/Robo2/Numb/Vegfa/Tenm4/Cyfip1/Obsl1/Wdr62/Hey1/Bcl11a/Cd24a/Nf1/Rnf6/Mfn1/Ep300/Mfn2/L1cam/Jade2/Nkx2-2/Mapt/Srf/Gli3/Dll1/Fgf13/Ptprz1/Dcx/Pak3/Gata2/Sema6c/Trp73/Ptprf/Notch1/Numbl/D130043K22Rik/Prox1/Synj1/Tiam1/Tbc1d24/Trak2/Il6st/Qki/Nin/Skil/Map2/Caprin2/Limk1/Rlim/Bdnf/Dpysl5/Ulk1/Adcyap1/Rgma/Sh3glb1/Map3k13/Mtor/Trpv2/Fmr1/Btg2/Lrp2/Sgk1/Plxna3/Rela/Slc30a1/Braf/Trf/Shh/Prkch/Eif4g2/Ache/Kifap3/Ldlr/Mbd1/Pcm1/Golga2/Cux1/Srcin1/Dab1/Slitrk1/Tsc2/Mycn/Twf2/Plxnb1/Per2/Vim/Mapk8/Smurf1/Prmt5/Cip2a/Kdm4a/Dll4/Ephb2/Draxin/Gsk3b/Megf8/Itgb1/Slc7a5/Opa1/Cask/Snap91/Trak1/Clcn2/Srrt/Hdac6/Sema6d/Rtn4/Trim46/Id2/Ttbk1/Zfyve27/Slit2",226,"Up","Oil - TP"
"GO:0007264","small GTPase-mediated signal transduction",0.0399777901166019,0.0179168286047415,0.468546637744035,2.23129835075958,13.7534618279023,7.58738334421768e-36,1.62142382065932e-32,8.10652009934837e-33,"Igf1/Col1a2/Tgm2/Arhgap28/Ngfr/Arhgap29/Col3a1/Cdon/Cgnl1/Gpr4/Dock5/Kank2/Lrrk2/Net1/Abca1/Adra1a/Hmox1/Dock4/Rhoj/Grin2a/Ntn1/Stard8/Lrp4/Dock6/Dennd3/Rapgef5/Rhobtb1/Nrp1/Rnd1/Grin2b/Dok7/Csf1/Pdgfrb/Arap3/Rasgrp2/Nradd/F11r/Arhgdib/Dennd4a/Bcl6/Heg1/Sh3bp1/Rasgrp1/Wasf2/Dlc1/Arhgap31/Arhgap24/Kank1/Chml/Reln/Srgap1/Rasa2/Sipa1l3/Adra1b/Cyth4/Arhgap42/Rasgef1b/Tgfb2/Robo1/Cd2ap/Nrg1/Tiam2/Vav2/Cdkn1a/Arhgap17/Itsn1/Rasgrp3/Rtn4r/Ednra/Ctnnal1/Ksr1/Dgki/Pecam1/Cdk2/Arfgef2/Sipa1l2/Lpar2/Iqgap3/Garnl3/Abl2/Arhgef2/Syde1/Notch2/Dock1/Trp53/Dennd4c/Iqsec3/Arhgap18/Rfxank/Ralgapa2/Rapgef6/Rapgef3/Usp8/Bnip2/Arfgef3/Ksr2/Trim67/Wnk1/Dock7/Foxm1/Arhgef10/Baiap2/Elmo1/Cdkl5/Gna13/Kctd13/Gmip/Wnt5a/Farp1/Cbl/Rhou/Rock2/Stard13/Cdc42se1/Rock1/Bcr/Arhgap32/Tax1bp3/Akap13/Dock9/Rapgefl1/Spry4/Ralgapa1/Psd3/Spry1/Sirt6/Cyfip1/Ccna2/Plekhg5/Rassf1/Kank3/Arrb1/Sipa1l1/Nf1/Arhgef11/Ccdc88a/Arhgap20/Arhgef12/Mfn2/Stk19/Ogt/Pik3cb/Dennd4b/Camk2d/Ophn1/Ripor1/Plk2/Rhog/Farp2/Ralb/Notch1/Dgkz/Wnt4/Tiam1/Cdc42ep3/Rras2/Rap1gap/Map4k4/Arhgap27/Itgav/Ralgapb/Rtkn/Ulk1/Rab4b/Scai/Dock3/Myo9b/Synj2bp/Agrn/Stambp/Rsu1/Dvl3/Nisch/Git2/Gbf1/Ralgps2/Dab1/Nkiras1/Vangl2/Nucb1/Tsc2/Plxnb1/F2r/Rasa3/Tnfaip1/Arfgef1/Icmt/Arf6/Mcf2l/Ephb2/Arhgdia/Rab30/Sos2/Nucb2/Itgb1/Rabl3/Mras/Arhgef28/Tns3/Itga3/Rhov/Cyth1/Celsr1/Madd/Dock10/Arhgap19/Cyth3/Rtn4/Uso1/Lipa/Chm/Vav3/Wasf1/Slit2/Als2/Arhgef18",216,"Up","Oil - TP"
"GO:0030900","forebrain development",0.0394225430316491,0.0185386708122814,0.446540880503145,2.12650321216841,12.8034623361409,1.21043244722085e-31,9.70010302391609e-29,4.8496931602467e-29,"Lhx8/Tbr1/Pitx2/Lhx6/Eomes/Emx2/Aldh1a2/Foxb1/Bmp4/Neurod6/Foxg1/Col3a1/Lmx1a/Pou3f3/Lamb1/Uncx/Foxp2/Atp1a2/Cdon/Cxcl12/Fat4/Mdga1/Lrrk2/Slc7a11/Mme/Rtn4rl1/Zeb2/Pou3f1/Drd2/Pou3f4/Lhx5/Prdm8/Syne2/Nrp1/Erbb4/Atp7a/Akna/Lef1/Nr4a2/Slc38a2/Sema7a/Filip1/Herc1/Pax6/Tnr/Nkx2-1/Epha5/Nefl/Fgfr3/Tyrobp/Pou3f2/Neurod1/B2m/Cx3cr1/Ttc21b/Dlc1/Reln/Vps13b/Robo1/Fezf2/Sema3a/Slitrk5/Cntn2/Nrg1/Plxna4/Srgap2/Kcna2/Nrg3/Ccdc141/Csf1r/Chd7/Rtn4r/Lrp6/Dicer1/Dmd/Nde1/Zswim6/Notch3/Cntnap2/Htt/Nhlh2/Bcl11b/Chrd/Hes5/Hook3/Egfr/Sema5a/Afdn/Ptger3/Atrx/Tsku/Nsun5/Bcan/Sstr1/Dock7/Slit1/Dmxl2/Mrtfa/Wnt5a/Cul5/Kif1a/Robo2/Ncor1/Lypd6/Numb/D16Ertd472e/Wdr62/Prkg1/Sall3/Plcb1/Ephb3/Scn2a/Kif21b/Nf1/Gdpd5/Dync2h1/Gsx1/Atat1/Fgfr2/Srf/Kdm6b/Ttbk2/Kif26a/Gli1/Ncor2/Gli3/Ophn1/Fgf13/Arid1a/Dcx/Gata2/Myh10/Trp73/Rara/Btbd3/Sun1/Notch1/Szt2/Numbl/Pitx1/Slc4a10/D130043K22Rik/Ogdh/Prox1/Wnt4/Ncam1/Smarca4/Slc1a2/Apaf1/Usp9x/Alk/Sun2/Nin/Large1/Secisbp2/Mcph1/Kirrel3/Mfsd2a/Nrgn/Ncoa1/Mrtfb/Btg2/Lrp2/Phactr1/Plxna3/Tcf7l2/Rbpj/Zmiz1/Dclk1/Tsc1/Shh/Kcnq2/Atg16l1/Kcnc2/Pcm1/Atp1b2/Dab1/Tyro3/Wdr47/Ghrh/Agtpbp1/Trappc9/Fgfr1/App/Tctn1/Sema3e/Chd5/Cdk5r2/Ephb2/Gart/Atp2b4/Draxin/Gsk3b/Aplp2/Ptchd1/Uba6/Ext1/Smarcc2/Atp1a3/Mapk8ip3/Gmppa/Dclk2/Kdm2b/Coro1c/Tacc1/Sall1/Top2b/Wdr37/Xab2/Rtn4/Id2/Inhbb/Slit2",213,"Up","Oil - TP"
"GO:0031346","positive regulation of cell projection organization",0.0384971312233944,0.0182277497085115,0.443496801705757,2.11200679398281,12.5302831868901,1.9906300308892e-30,1.06349409400256e-27,5.31707758250669e-28,"Sphk1/Crabp2/Fn1/Bmp4/Efemp1/Epha3/Myo5b/Bmp7/Ngfr/Pla2g3/Wls/Lcn2/Serpinf1/Fzd4/Cxcl12/Nfe2l2/Ddr2/Adamts1/Fzd1/Agt/Zeb2/Zfp804a/Ntn1/Dcc/Nrp1/Erbb4/Anln/Atp7a/Lrp1/Sema7a/Trpc5/Gpc2/Epha4/Lrrc7/Nefl/Itpr1/Kat2b/Fxn/Il1rapl1/Flna/Cux2/Wasf2/Serpine2/Cflar/Reln/Sez6/Tgfb3/Pcp4/Grn/Robo1/Eef2k/Arap1/Nrg1/Akap5/Creb3l2/Atp8a2/Tiam2/Macf1/Map1b/Tenm1/Iqgap1/Lrp6/Tenm2/Dscam/Cdkl3/Dmd/Enpp2/Apc/Htt/Abl2/Islr2/Atf1/Kalrn/Sema5a/Rapgef6/Afdn/Tapt1/Bmpr2/Golga4/Trim67/Prkcq/Ntrk3/Camk1d/Baiap2/Cdkl5/Hdac4/Cep135/Plxnd1/Adnp/Tnik/Igf1r/Wnt5a/Ptprd/Wrap73/Arhgap32/Robo2/Numb/Vegfa/Cyfip1/Obsl1/Wasl/Bcl11a/Cd24a/Nf1/Acsl6/Mfn1/Ccdc88a/Ep300/Mfn2/Carmil1/Nckipsd/L1cam/Mapt/Rgs2/Srf/Ttbk2/Ret/Clip1/Cntn1/P3h1/Ptprz1/Fkbp1b/Dcx/Pak3/Mob2/Magi2/Ptprf/Numbl/Dnm3/P2rx7/Rreb1/Pacsin1/Tiam1/Tbc1d24/Cdc42ep3/Wdr44/Scn1b/Alk/Qki/Nin/Skil/Caprin2/Limk1/Pik3r1/Bdnf/Serpini1/Setx/Adcyap1/Rgma/Dzip1/Cnr1/Sh3glb1/Map3k13/Mtor/Trpv2/Fmr1/Agrn/Sgk1/Fut9/Slc30a1/Braf/Dvl3/Palm/Eif4g2/Ache/Fbxo38/Vldlr/Mark4/Atp1b2/Golga2/Ikbkb/Cux1/Srcin1/Slitrk1/Zdhhc15/Htr7/Tenm3/Tsc2/Twf2/Plxnb1/Washc5/Fgfr1/Kidins220/Mark2/Crtc1/Smurf1/Cbfa2t2/Arf6/Dpysl3/Ephb2/Itga6/Ptk7/Gsk3b/Megf8/Itgb1/Sirt1/Kif3c/Rabl3/Opa1/Itga3/Cask/Snap91/Fscn1/Trak1/Coro1c/Hdac6/Rtn4/Zfyve27",208,"Up","Oil - TP"
"GO:0050803","regulation of synapse structure or activity",0.0364612252452341,0.0164788184998057,0.464622641509434,2.2126116168865,12.9803138868829,3.57229929233885e-32,4.11752281604373e-29,2.05860929403462e-29,"Myo5b/Slitrk6/Thbs2/Epha7/Cdh8/Mdga1/Tanc1/Lrrk2/Il1rap/Slc7a11/Fzd1/Dock4/Drd2/S1pr2/Zfp804a/Ntn1/Lrp4/Syndig1/Nrn1/Grin2b/Slitrk2/Erbb4/Oxt/Sema7a/C1ql1/Epha4/Adgre5/Ank3/Cbln2/Cntnap1/Nefl/Frmpd4/Dmpk/Ntng2/2610042L04Rik/Fam107a/Il1rapl1/Cux2/Slitrk3/Slitrk4/Reln/Srgap1/Adgrl4/Robo1/Eef2k/Lzts1/Slitrk5/Nrg1/Nfatc4/Srgap2/Slc17a6/Map1b/Cttnbp2/Itsn1/Ptpn13/Iqgap1/Rtn4r/Htr4/Ncan/Gpr158/C1ql2/Trim47/Flrt1/Samd4/Mycbp2/Kalrn/Dock1/Arhgap4/Adgrl2/Tanc2/Afdn/Adgrl3/Ptprt/Elavl2/Sparcl1/Slit1/Ntrk3/Baiap2/Elmo1/Cdkl5/Gna13/Lingo2/Adnp/Mrtfa/Vstm5/Mdga2/Sema3f/Wnt5a/Farp1/Rock2/Ptprd/Rock1/Oxtr/Kif1a/Flrt2/Nedd4l/Numb/Cyfip1/Ephb1/Wasl/Sema4c/Dgkb/Ephb3/Sipa1l1/Nf1/Mfn1/Lin7a/Mfn2/Nckipsd/L1cam/Flrt3/Setd5/Ogt/Lrrtm4/Nrxn1/Il1rapl2/Nlgn3/Lrfn5/Dcx/Pak3/Rhog/Magi2/Myh10/Nae1/Dip2a/Ptprf/Numbl/Dnm3/Shank2/Tiam1/Nrcam/Usp9x/Strn/Zdhhc8/Caprin2/Limk1/Lrrtm2/Smad3/Pik3r1/Bdnf/Chrna7/Senp1/Mrtfb/Agrn/Phactr1/Dclk1/Slc30a1/Ppfia2/Chd4/Cpeb3/Stx1b/Homer1/Igsf9/Cyfip2/Palm/Sparc/Arc/Vldlr/Ngef/Caskin1/Rbmx/Srcin1/Lrfn3/Dab1/Slitrk1/Zdhhc15/Vangl2/Nrxn2/Clstn2/Ube3b/Tsc2/Slc12a5/Fgfr1/Cc2d1a/App/Mark2/Nectin1/Lrfn1/Arf6/Ephb2/Gsk3b/Itgb1/Lats1/Opa1/Arhgef15/Cask/Snap91/Eif4g1/Lrrn1/Prickle1/Crmp1/Dock10/Cd47/Rtn4/Tubb5/Lrrn3/Slit2",197,"Up","Oil - TP"
"GO:0014706","striated muscle tissue development",0.0364612252452341,0.0191993781577925,0.398785425101215,1.8990836549795,10.4026889094262,4.82072201844022e-22,7.35848782386196e-20,3.67897206670438e-20,"Pitx2/Eomes/Cyp26b1/Tbx18/Igf2/Aldh1a2/Foxc2/Lox/Eya2/Igf1/Bmp4/Tgfbr3/Bmp7/Col6a1/Foxc1/Hspg2/Myh11/Foxp2/Abcb1a/Cdon/Tgfbr2/Fzd7/Svil/Myc/Eya1/Cav1/Sema3c/Boc/Adra1a/Hlf/Agt/Zfp418/Ryr2/Meis1/Heyl/Myorg/Flnb/Tll2/Smad7/Erbb4/Tgfb1/Pdgfrb/Lef1/Klf5/Pmp22/Cntnap1/Pi16/Hivep3/Ccnd2/Heg1/Grem1/Cflar/Fadd/Fgf1/Adra1b/Naglu/Plec/Tgfb2/Efnb2/Nrg1/Abcg2/Med20/Sox6/Fgf9/Plagl1/Chd7/Hmg20b/Ednra/Lrp6/Dicer1/Dmd/Zfpm1/Spg11/Akap6/Apc/Cntnap2/Greb1l/Ccnt2/Eln/Irx3/Speg/Mtm1/Eng/Parp2/Megf10/Hdac4/Pdgfra/Sorbs2/Akap13/Acadm/Sox11/Mbnl1/Cav2/Sirt6/Vegfa/Tenm4/Prkg1/Hey1/Sav1/Ephb1/Xk/Trex1/Nf1/Ryr1/Ep300/Nebl/Pkp2/Rgs2/Ube4b/Fgfr2/Srf/Kdm6b/Vps54/Hdac7/Nln/Nprl3/Camk2d/Gli1/Bcl9/Gpc1/Dll1/Abcc9/Tsc22d3/Fhod3/Arid1a/Bcl2/Ppif/Rps6kb1/Myh10/Trp73/Rara/Gjc1/Notch1/Usp19/Pitx1/Prox1/Ncam1/Mef2d/Nr4a1/Cited2/Sgcb/Large1/Skil/Acta1/Ddx17/Smad3/Bdnf/Cxadr/Tbx2/Ddx5/Slc9a1/Mtor/Smad4/Mrtfb/Btg2/Lrp2/Slc8a1/Tcf7l2/Rbpj/Gja1/Col11a1/Tsc1/Selenon/Shh/Homer1/Rbfox1/Fhl2/Maml1/Rbm24/Foxp1/Zfp689/Prkaa1/Fbxo22/Dipk2a/Fgfr1/Med1/Ybx3/Usp2/Dll4/Gsk3b/Vgll4/Itgb1/Actn2/Sirt1/Jarid2/Hnrnpu/Zmpste24/Myo18b/Kat8/Ly6e/Prickle1/Myh14/Eef2/G6pdx/Bin3/Ctcf/Id2",197,"Up","Oil - TP"
"GO:0042692","muscle cell differentiation",0.0362761428835832,0.0190827827438787,0.39918533604888,1.90098809856333,10.3924040192024,5.35542162667831e-22,7.80309273832606e-20,3.90125809886016e-20,"Pitx2/Cyp26b1/Tbx18/Igf2/Ccn3/Lox/Cfh/Igf1/Bmp4/Col6a1/Lamb1/Myh11/Myof/Hopx/Abcb1a/Cdon/Cxcl12/Fzd7/Svil/Myc/Dock5/Tanc1/Ehd2/Aplnr/Lama2/Zbed6/Adra1a/Agt/Zfp418/Piezo1/Lamc1/Meis1/Myorg/Myh9/Tgfb1/Pdgfrb/Ramp2/Sdc1/Notch4/Flnc/Klf5/Ank2/Pmp22/Cntnap1/Dmpk/Pi16/Syne1/Ccnd2/Adamts5/Ldb3/Grem1/Cflar/Myl9/Prdm16/Adra1b/Naglu/Plec/Efnb2/Nrg1/Actn1/Abcg2/Nfatc4/Ankrd23/Lama1/Sox6/Fgf9/Csf1r/Ptgfrn/Ednra/Dicer1/Bhlhe41/Cacnb4/Dmd/Spg11/Akap6/Cntnap2/Greb1l/Ccnt2/Lamb2/Notch2/Dock1/Irx3/Speg/Eng/Bnip2/Bmpr2/Parp2/Csrp1/Megf10/Efemp2/Tmtc3/Hdac4/Pdgfra/Sorbs2/Mrtfa/Nid1/Tmod3/Akap13/Acadm/Cav2/Sirt6/Vegfa/Prkg1/Hey1/Sema4c/Xk/Ryr1/Ep300/Mfn2/Nebl/Rgs2/Capn2/Fgfr2/Srf/Kdm6b/Nln/Chuk/Camk2d/Bcl9/Dll1/Dpf3/Fhod3/Arid1a/Bcl2/Ppif/Dyrk1b/Myh10/Rara/Notch1/Mef2a/Flii/Nfatc2/Prox1/Wnt4/Plekho1/Afg3l2/Smarca4/Sox9/Mmp14/Sgcb/Atp11a/Qki/Large1/Acta1/Bdnf/Cxadr/Tbx2/Supt6/Slc9a1/Il4ra/Mtor/Smad4/Mrtfb/Slc8a1/Rbpj/Pdgfb/Actn4/Tsc1/Selenon/Shh/Homer1/Fhl2/Maml1/Rbm24/Casp7/Mdm2/Tmod2/Neo1/Foxp1/Glmn/Vangl2/Fbxo22/Pbrm1/Sort1/Ankrd17/Ptbp1/Cacna2d2/Capzb/Gsk3b/Itgb1/Actn2/Sirt1/Dnmt1/Hnrnpu/Zmpste24/Myo18b/Ntn3/Zeb1/Rbm4/Prickle1/Ehmt1/Atp2a2/G6pdx/Bin3/Ctcf/Id2",196,"Up","Oil - TP"
"GO:0007015","actin filament organization",0.0360910605219323,0.0185775359502526,0.407949790794979,1.94272591470568,10.7261483007686,3.35489552731836e-23,6.145210064468e-21,3.07237800922839e-21,"Ccn2/Arhgap28/Myo5b/Phldb2/Inf2/Prkcd/Arhgef5/Gsn/Cgnl1/Shroom4/Svil/Kank2/Synpo/Plekhh2/Zeb2/Rhoj/Arpc1b/Fat1/Rhobtb1/Nrp1/Rnd1/Fhdc1/Myh9/Tac1/Tjp1/Lima1/Kirrel1/Fhod1/F11r/Plekhg2/Daam2/Rgcc/Diaph2/S100a10/Fam107a/Flna/Sh3bp1/Wasf2/Pcdh15/Asap3/Dlc1/Myo1c/Iqgap2/Cit/Kank1/Sh3pxd2b/Myl9/Tmeff2/Tgfb3/Cald1/Plec/Cd2ap/Arap1/Sptb/Actn1/Sorbs3/Coro7/Tacr1/Hip1/Arhgap17/Rictor/Tenm1/Iqgap1/Capn1/Myo19/Pecam1/Triobp/Cnn2/Iqgap3/Esam/Gas7/Abl2/Arhgef2/Shank1/Ssh1/Myo5a/Sptbn1/Eln/Myo1b/Nckap1l/Arhgap18/Sema5a/Rapgef3/Prkcq/Arhgef10/Baiap2/Elmo1/Rhpn2/Kctd13/Mrtfa/Tmod3/Rhou/Rock2/Sptbn4/Lcp1/Cyfip1/Wasl/Kank3/Arrb1/Naa80/Ccdc88a/Pxn/Luzp1/Carmil1/Nebl/Zyx/Mical3/Sptan1/Ppm1f/Srf/Enah/Sorbs1/Fhod3/Ssh3/Washc4/Dlg1/Bcl2/Pak3/Prkn/Rhog/Myh10/Ssh2/Mical2/Flii/Prox1/Wnt4/Pacsin1/Inpp5k/Cdc42ep3/Ppm1e/Acta1/Fer/Limk1/Smad3/Pik3r1/Sptbn2/Limch1/Mad2l2/Mtor/Phactr1/Gja1/Samd14/Braf/Actn4/Tsc1/Clasp1/Washc2/Cyfip2/Tmsb10/Pik3r2/Kank4/Pakap/Diaph1/Washc3/Tmod2/Elmo2/Abitram/Twf2/Washc5/Tnfaip1/Arfgef1/Vasp/Tpm3/Arf6/Mical1/Add2/Dpysl3/Capzb/Shroom3/Ttc17/Itgb1bp1/Wasf3/Actn2/Swap70/Lats1/Shroom2/Rflnb/Arhgef15/Fscn1/Rhov/Msrb1/Snx9/Tesk1/Ppfia1/Coro1c/Clasp2/Hdac6/Gas2l1/Cd47/Gba2/Wasf1/Tpm4/Slit2/Arhgef18/Wipf3",195,"Up","Oil - TP"
"GO:0050807","regulation of synapse organization",0.0359059781602813,0.0161290322580645,0.467469879518072,2.22617064593744,12.9830966831954,3.85355434351309e-32,4.11752281604373e-29,2.05860929403462e-29,"Myo5b/Slitrk6/Thbs2/Epha7/Cdh8/Mdga1/Tanc1/Lrrk2/Il1rap/Slc7a11/Fzd1/Dock4/Drd2/S1pr2/Zfp804a/Ntn1/Lrp4/Syndig1/Nrn1/Grin2b/Slitrk2/Erbb4/Oxt/Sema7a/C1ql1/Epha4/Adgre5/Ank3/Cbln2/Cntnap1/Nefl/Frmpd4/Dmpk/Ntng2/Fam107a/Il1rapl1/Cux2/Slitrk3/Slitrk4/Reln/Srgap1/Adgrl4/Robo1/Eef2k/Lzts1/Slitrk5/Nrg1/Nfatc4/Srgap2/Map1b/Cttnbp2/Itsn1/Ptpn13/Iqgap1/Rtn4r/Htr4/Ncan/Gpr158/C1ql2/Trim47/Flrt1/Samd4/Mycbp2/Kalrn/Dock1/Arhgap4/Adgrl2/Tanc2/Afdn/Adgrl3/Ptprt/Elavl2/Sparcl1/Slit1/Ntrk3/Baiap2/Elmo1/Cdkl5/Gna13/Lingo2/Adnp/Mrtfa/Vstm5/Mdga2/Sema3f/Wnt5a/Farp1/Rock2/Ptprd/Rock1/Oxtr/Kif1a/Flrt2/Nedd4l/Numb/Cyfip1/Ephb1/Wasl/Sema4c/Dgkb/Ephb3/Sipa1l1/Nf1/Mfn1/Lin7a/Mfn2/Nckipsd/L1cam/Flrt3/Setd5/Ogt/Lrrtm4/Nrxn1/Il1rapl2/Nlgn3/Lrfn5/Dcx/Pak3/Rhog/Magi2/Myh10/Nae1/Dip2a/Ptprf/Numbl/Dnm3/Shank2/Tiam1/Nrcam/Usp9x/Strn/Zdhhc8/Caprin2/Limk1/Lrrtm2/Smad3/Pik3r1/Bdnf/Chrna7/Senp1/Mrtfb/Agrn/Phactr1/Dclk1/Slc30a1/Ppfia2/Chd4/Cpeb3/Homer1/Igsf9/Cyfip2/Palm/Sparc/Arc/Vldlr/Ngef/Caskin1/Rbmx/Srcin1/Lrfn3/Dab1/Slitrk1/Zdhhc15/Vangl2/Nrxn2/Clstn2/Ube3b/Tsc2/Slc12a5/Fgfr1/Cc2d1a/App/Mark2/Nectin1/Lrfn1/Arf6/Ephb2/Gsk3b/Itgb1/Lats1/Opa1/Arhgef15/Cask/Snap91/Eif4g1/Lrrn1/Prickle1/Crmp1/Dock10/Cd47/Rtn4/Tubb5/Lrrn3/Slit2",194,"Up","Oil - TP"
"GO:0048880","sensory system development",0.0359059781602813,0.0189273221919938,0.398357289527721,1.89704480095285,10.3038712666514,1.15547830893472e-21,1.61038509534359e-19,8.05133055081518e-20,"Pitx2/Aldh1a2/Foxc2/Meis2/Cyp1b1/Cfh/Bmp6/Bmp4/Efemp1/Slitrk6/Lamc3/Bmp7/Col5a1/Aldh1a1/Foxc1/Vstm4/Serpinf1/Foxp2/Pbx3/Fbn2/Fbn1/Lmx1b/Fzd4/Cdon/Tgfbr2/Stra6/Fat3/Mertk/Maf/Man2a1/Rarg/Cryab/Crybg3/Tgif1/Col8a1/Zeb2/Drd2/Kdr/Rhoj/Fat1/Jag1/Meis1/Klf4/Nrp1/Hipk2/Acvr2b/Tgfb1/Pdgfrb/C1qa/Adamts9/Irx5/Casz1/Cdkn1c/Barhl2/Clic4/Pax6/Fgfr3/Hcn1/Neurod1/Thy1/Gas1/Arsg/Sh3pxd2b/Thrb/Sipa1l3/Kmt2c/Sdk2/Foxf2/Naglu/Grn/Tgfb2/Tmem215/Col8a2/Sp1/Lama1/Nhs/Atp8a2/Fgf9/Slc17a6/Rdh13/Chd7/Usp45/Lrp6/Spred3/Dscam/Grk1/Col4a1/Apc/Bcl11b/Hes5/Egfr/Lamb2/Notch2/Bmpr2/Pxdn/Tsku/Flt1/Ntrk3/Nipbl/Pou2f1/Pdgfra/Acvrl1/Cc2d2a/Mab21l2/Tdrd7/Samd11/Sox11/Adamts18/Spry1/Ptprm/Vegfa/Ephb1/Meis3/Kdm5b/Mfsd8/Nf1/Mfn2/Tcirg1/Crb1/Fgfr2/Srf/Ret/Gli3/Dll1/Slc4a7/Arid1a/Dlg1/Bcl2/Dcx/Ints15/Myh10/Cacna1c/Rara/Bmpr1b/Notch1/Pbx2/Cln8/Mfap2/Prox1/Col5a2/Smarca4/Sox9/Cited2/Large1/Skil/Lrp5/Smad3/Scrib/Bdnf/Nphp4/Tbx2/B3glct/Ulk1/Cep290/Ift140/Mfsd2a/Gja1/Sox4/Pdgfb/Pds5b/Shh/Ache/Megf11/Smoc1/Agtpbp1/Tenm3/Pds5a/Bak1/Vim/Jmjd6/Hps1/Med1/Wdr19/Nectin1/Ctns/Prom1/Dll4/Ephb2/Dio3/Mdm1/Frem2/Atp2b4/Ppp2r3a/Shroom2/Tmem135/Arhgef15/Zeb1/Kdm2b/Rab11fip4/Clcn2/Sco2/Prickle1/Traf3ip1/Inhbb",194,"Up","Oil - TP"
